,Air.Temp.,Air.Temp1,Air.Temp2
09/06/2020 19:17:00,37.05484,36.97913,36.61938
09/06/2020 19:18:00,37.02084,36.9217,36.62233
09/06/2020 19:19:00,37.00152,36.93496,36.62005
09/06/2020 19:20:00,36.98467,36.92097,36.54814
09/06/2020 19:21:00,36.95311,36.90135,36.54765
09/06/2020 19:22:00,36.93272,36.85135,36.52396
09/06/2020 19:23:00,36.9258,36.82681,36.52227
09/06/2020 19:24:00,36.91719,36.82009,36.48999
09/06/2020 19:25:00,36.90683,36.80033,36.50139
09/06/2020 19:26:00,36.91508,36.79993,36.4936
09/06/2020 19:27:00,36.89696,36.80468,36.46371
09/06/2020 19:28:00,36.88554,36.8148,36.45607
09/06/2020 19:29:00,36.87582,36.80653,36.43824
09/06/2020 19:30:00,36.8635,36.79624,36.42611
09/06/2020 19:31:00,36.85153,36.74701,36.40954
09/06/2020 19:32:00,36.87471,36.7523,36.41777
09/06/2020 19:33:00,36.88316,36.72663,36.42139
09/06/2020 19:34:00,36.86835,36.78367,36.40082
09/06/2020 19:35:00,36.86012,36.73522,36.41335
09/06/2020 19:36:00,36.83733,36.71323,36.40926
09/06/2020 19:37:00,36.82591,36.72684,36.35742
09/06/2020 19:38:00,36.82821,36.71354,36.36589
09/06/2020 19:39:00,36.8148,36.71651,36.37252
09/06/2020 19:40:00,36.80207,36.71379,36.30156
09/06/2020 19:41:00,36.78917,36.71364,36.31887
09/06/2020 19:42:00,36.75682,36.71379,36.30199
09/06/2020 19:43:00,36.71157,36.68665,36.2907
09/06/2020 19:44:00,36.67,36.63278,36.26327
09/06/2020 19:45:00,36.61869,36.62645,36.21126
09/06/2020 19:46:00,36.60278,36.61053,36.20609
09/06/2020 19:47:00,36.59576,36.60622,36.12265
09/06/2020 19:48:00,36.61467,36.57946,36.1206
09/06/2020 19:49:00,36.62188,36.56483,36.11476
09/06/2020 19:50:00,36.59405,36.56303,36.09777
09/06/2020 19:51:00,36.57367,36.55735,36.08578
09/06/2020 19:52:00,36.55908,36.56083,36.0642
09/06/2020 19:53:00,36.54683,36.5657,36.0471
09/06/2020 19:54:00,36.526,36.53851,36.04699
09/06/2020 19:55:00,36.51302,36.46857,36.01449
09/06/2020 19:56:00,36.50225,36.44592,36.01831
09/06/2020 19:57:00,36.50311,36.4579,36.01271
09/06/2020 19:58:00,36.49371,36.47048,36.00728
09/06/2020 19:59:00,36.49056,36.49776,35.99622
09/06/2020 20:00:00,36.48037,36.38682,35.98235
09/06/2020 20:01:00,36.49458,36.34238,35.96284
09/06/2020 20:02:00,36.50764,36.40769,36.01183
09/06/2020 20:03:00,36.51301,36.37829,35.955
09/06/2020 20:04:00,36.50029,36.34426,35.99585
09/06/2020 20:05:00,36.4838,36.30191,35.93949
09/06/2020 20:06:00,36.4857,36.2671,35.97732
09/06/2020 20:07:00,36.48152,36.31005,35.94731
09/06/2020 20:08:00,36.45443,36.27559,35.91481
09/06/2020 20:09:00,36.39665,36.28096,35.91099
09/06/2020 20:10:00,36.37191,36.25793,35.8712
09/06/2020 20:11:00,36.35316,36.23838,35.85643
09/06/2020 20:12:00,36.29628,36.21802,35.77981
09/06/2020 20:13:00,36.23317,36.19133,35.74042
09/06/2020 20:14:00,36.2378,36.16235,35.71765
09/06/2020 20:15:00,36.25402,36.16687,35.70998
09/06/2020 20:16:00,36.26812,36.1551,35.69774
09/06/2020 20:17:00,36.28228,36.12571,35.63451
09/06/2020 20:18:00,36.28557,36.11272,35.61523
09/06/2020 20:19:00,36.29201,36.15175,35.64918
09/06/2020 20:20:00,36.30052,36.18565,35.61465
09/06/2020 20:21:00,36.30328,36.2027,35.51635
09/06/2020 20:22:00,36.29461,36.14336,35.63133
09/06/2020 20:23:00,36.28516,36.1643,35.63579
09/06/2020 20:24:00,36.25217,36.13535,35.54157
09/06/2020 20:25:00,36.2323,36.11283,35.42751
09/06/2020 20:26:00,36.19132,36.11229,35.34513
09/06/2020 20:27:00,36.17936,36.11273,35.29963
09/06/2020 20:28:00,36.15232,36.09477,35.15918
09/06/2020 20:29:00,36.14837,36.05206,35.24319
09/06/2020 20:30:00,36.15464,36.01735,35.19278
09/06/2020 20:31:00,36.1197,36.01528,35.13774
09/06/2020 20:32:00,36.07692,36.01498,35.07773
09/06/2020 20:33:00,36.04446,36.00786,35.08136
09/06/2020 20:34:00,36.04181,35.99505,35.13374
09/06/2020 20:35:00,36.02679,35.95141,35.80198
09/06/2020 20:36:00,36.00469,35.93838,36.24018
09/06/2020 20:37:00,36.00871,35.91154,36.50422
09/06/2020 20:38:00,36.01183,35.90371,36.34068
09/06/2020 20:39:00,36.01653,35.9127,36.39159
09/06/2020 20:40:00,35.99974,35.89467,36.24601
09/06/2020 20:41:00,35.98152,35.91261,36.25473
09/06/2020 20:42:00,35.9588,35.91313,36.20869
09/06/2020 20:43:00,35.94128,35.90622,36.14751
09/06/2020 20:44:00,35.9132,35.91254,36.05732
09/06/2020 20:45:00,35.90841,35.87803,36.05329
09/06/2020 20:46:00,35.89527,35.82947,36.00592
09/06/2020 20:47:00,35.87826,35.89465,36.00591
09/06/2020 20:48:00,35.8338,35.84114,35.97997
09/06/2020 20:49:00,35.78886,35.82595,36.05017
09/06/2020 20:50:00,35.78541,35.81281,35.86372
09/06/2020 20:51:00,35.76857,35.79282,35.81968
09/06/2020 20:52:00,35.75847,35.75211,35.7668
09/06/2020 20:53:00,35.74156,35.71396,35.72435
09/06/2020 20:54:00,35.71518,35.70362,35.716
