,Rel. Hum.,Rel.Hum2.,Rel. Hum 1
09/06/2020 17:49:00,32.45221,31.74537,31.71725
09/06/2020 17:50:00,32.42553,31.84318,31.91345
09/06/2020 17:51:00,32.56248,31.93287,31.9435
09/06/2020 17:52:00,32.65059,32.10423,32.14608
09/06/2020 17:53:00,32.57802,32.09998,32.17131
09/06/2020 17:54:00,32.48281,31.93016,31.97879
09/06/2020 17:55:00,32.57262,32.00679,32.11492
09/06/2020 17:56:00,32.55283,32.1147,32.21474
09/06/2020 17:57:00,32.48435,32.07162,32.24312
09/06/2020 17:58:00,32.64432,32.20202,32.40361
09/06/2020 17:59:00,32.62801,32.33722,32.51466
09/06/2020 18:00:00,32.64315,32.39803,32.57417
09/06/2020 18:01:00,32.63664,32.38339,32.5369
09/06/2020 18:02:00,32.75876,32.36548,32.50932
09/06/2020 18:03:00,33.06404,32.5597,32.57556
09/06/2020 18:04:00,33.19859,32.85675,32.79181
09/06/2020 18:05:00,33.41936,32.82524,32.85377
09/06/2020 18:06:00,33.64121,32.97158,32.94976
09/06/2020 18:07:00,33.50906,32.86727,32.86963
09/06/2020 18:08:00,33.41376,32.78279,32.81097
09/06/2020 18:09:00,33.28819,32.86417,32.92974
09/06/2020 18:10:00,33.25371,32.68337,32.73912
09/06/2020 18:11:00,33.43275,32.98621,32.99633
09/06/2020 18:12:00,33.34734,32.82486,32.89214
09/06/2020 18:13:00,33.28754,32.86893,32.90985
09/06/2020 18:14:00,33.03828,32.69421,32.81552
09/06/2020 18:15:00,33.17918,32.73177,32.81152
09/06/2020 18:16:00,33.25157,32.62816,32.69014
09/06/2020 18:17:00,33.31343,32.76523,32.82092
09/06/2020 18:18:00,33.10897,32.62693,32.75706
09/06/2020 18:19:00,33.1455,32.70913,32.82749
09/06/2020 18:20:00,33.03469,32.4849,32.61309
09/06/2020 18:21:00,33.46916,32.65395,32.80293
09/06/2020 18:22:00,33.61083,32.98646,33.07545
09/06/2020 18:23:00,33.3217,32.84227,32.96281
09/06/2020 18:24:00,33.36694,32.84259,32.97566
09/06/2020 18:25:00,33.20901,32.75633,32.88943
09/06/2020 18:26:00,33.30206,32.79178,32.94127
09/06/2020 18:27:00,33.5111,32.94808,33.08154
09/06/2020 18:28:00,33.33638,32.89897,33.02739
09/06/2020 18:29:00,33.2212,32.77785,32.93482
09/06/2020 18:30:00,33.29331,32.84186,32.97203
09/06/2020 18:31:00,33.30306,32.8204,32.96585
09/06/2020 18:32:00,33.32626,32.7099,32.82714
09/06/2020 18:33:00,33.50346,32.85207,32.97048
09/06/2020 18:34:00,33.81886,33.12121,33.21352
09/06/2020 18:35:00,33.85254,33.22169,33.32701
09/06/2020 18:36:00,33.92389,33.27496,33.37548
09/06/2020 18:37:00,34.01386,33.4489,33.56404
09/06/2020 18:38:00,34.01649,33.37514,33.54581
09/06/2020 18:39:00,34.25326,33.47989,33.68929
09/06/2020 18:40:00,34.57426,33.8131,33.94753
09/06/2020 18:41:00,34.6138,34.00399,34.12492
09/06/2020 18:42:00,34.5189,33.91572,34.08224
09/06/2020 18:43:00,34.50183,33.86523,34.03642
09/06/2020 18:44:00,34.5269,33.88382,34.08889
09/06/2020 18:45:00,34.3192,33.68804,33.91029
09/06/2020 18:46:00,34.32939,33.65493,33.84986
09/06/2020 18:47:00,34.50603,33.85746,34.04889
09/06/2020 18:48:00,34.66993,34.02847,34.16085
09/06/2020 18:49:00,34.74525,34.06937,34.22417
09/06/2020 18:50:00,34.93287,34.23523,34.41824
09/06/2020 18:51:00,34.93277,34.28458,34.4858
09/06/2020 18:52:00,34.89254,34.24941,34.43831
09/06/2020 18:53:00,35.05841,34.29103,34.49738
09/06/2020 18:54:00,35.15977,34.47843,34.67091
09/06/2020 18:55:00,35.10422,34.42837,34.63332
09/06/2020 18:56:00,35.31324,34.64638,34.83287
09/06/2020 18:57:00,35.32851,34.71842,34.82475
09/06/2020 18:58:00,35.3361,34.68491,34.85522
09/06/2020 18:59:00,35.44433,34.80162,34.89852
09/06/2020 19:00:00,35.56726,34.89381,34.92723
09/06/2020 19:01:00,35.61792,35.00489,35.1087
09/06/2020 19:02:00,35.56812,34.93007,35.03913
09/06/2020 19:03:00,35.71421,35.01207,35.10775
09/06/2020 19:04:00,35.82349,35.153,35.26637
09/06/2020 19:05:00,35.89193,35.23434,35.31976
09/06/2020 19:06:00,35.89618,35.25452,35.36164
09/06/2020 19:07:00,35.88053,35.21479,35.36142
09/06/2020 19:08:00,36.00507,35.33125,35.4788
09/06/2020 19:09:00,35.96777,35.36082,35.47685
09/06/2020 19:10:00,36.00324,35.34591,35.51827
09/06/2020 19:11:00,36.16593,35.5171,35.62262
09/06/2020 19:12:00,36.04731,35.40786,35.52321
09/06/2020 19:13:00,36.09896,35.44872,35.59776
09/06/2020 19:14:00,36.17105,35.52425,35.67532
09/06/2020 19:15:00,36.36034,35.73039,35.88734
09/06/2020 19:16:00,36.51913,35.88776,36.00563
09/06/2020 19:17:00,36.47659,35.89115,36.0359
09/06/2020 19:18:00,36.49961,35.843,36.05761
09/06/2020 19:19:00,36.61256,35.93225,36.05941
09/06/2020 19:20:00,36.67371,36.04479,36.14614
09/06/2020 19:21:00,36.81948,36.1171,36.19349
09/06/2020 19:22:00,36.91838,36.2619,36.26671
09/06/2020 19:23:00,37.00812,36.3654,36.33972
09/06/2020 19:24:00,36.96502,36.36042,36.36127
09/06/2020 19:25:00,37.06952,36.47359,36.48308
09/06/2020 19:26:00,37.00817,36.41755,36.407
09/06/2020 19:27:00,37.12558,36.53865,36.56039
09/06/2020 19:28:00,37.08357,36.50033,36.52626
09/06/2020 19:29:00,37.12157,36.53888,36.56013
09/06/2020 19:30:00,37.2214,36.584,36.59857
09/06/2020 19:31:00,37.20537,36.59376,36.63042
09/06/2020 19:32:00,37.20343,36.66271,36.71799
09/06/2020 19:33:00,37.28462,36.73703,36.79512
09/06/2020 19:34:00,37.32235,36.71154,36.8197
09/06/2020 19:35:00,37.43361,36.7947,36.89732
09/06/2020 19:36:00,37.5456,36.94228,36.99979
09/06/2020 19:37:00,37.71617,37.08656,37.12752
09/06/2020 19:38:00,37.69719,37.12349,37.15891
09/06/2020 19:39:00,37.73675,37.19857,37.13406
09/06/2020 19:40:00,37.71355,37.13356,37.15899
09/06/2020 19:41:00,37.90655,37.28689,37.26536
09/06/2020 19:42:00,38.00494,37.33743,37.32847
09/06/2020 19:43:00,38.11433,37.36277,37.35715
09/06/2020 19:44:00,38.27773,37.41942,37.44891
09/06/2020 19:45:00,38.45288,37.62315,37.62093
09/06/2020 19:46:00,38.58448,37.78532,37.81609
09/06/2020 19:47:00,38.58342,37.8811,37.92909
09/06/2020 19:48:00,38.62938,38.00144,38.01466
09/06/2020 19:49:00,38.47573,37.86045,37.92718
09/06/2020 19:50:00,38.7002,37.94708,37.9588
09/06/2020 19:51:00,38.85728,38.12746,38.17659
09/06/2020 19:52:00,38.94852,38.17857,38.23366
09/06/2020 19:53:00,39.15701,38.34265,38.34608
09/06/2020 19:54:00,39.24411,38.50282,38.45488
09/06/2020 19:55:00,39.5134,38.75165,38.6991
09/06/2020 19:56:00,39.67096,38.93441,38.86896
09/06/2020 19:57:00,39.42073,38.67766,38.68116
09/06/2020 19:58:00,39.93089,39.13491,39.00605
09/06/2020 19:59:00,39.30828,38.69617,38.72847
09/06/2020 20:00:00,39.04067,38.33289,38.3862
09/06/2020 20:01:00,39.06802,38.36137,38.40601
09/06/2020 20:02:00,39.06,38.42855,38.43728
09/06/2020 20:03:00,39.19352,38.45969,38.53608
09/06/2020 20:04:00,39.51996,38.86971,38.83434
09/06/2020 20:05:00,39.7764,39.04279,39.04735
09/06/2020 20:06:00,39.47803,38.82566,38.79826
09/06/2020 20:07:00,39.97884,39.31842,39.22323
09/06/2020 20:08:00,40.32785,39.41978,39.36444
09/06/2020 20:09:00,40.89745,39.96609,39.70684
09/06/2020 20:10:00,40.84811,40.20267,39.828
09/06/2020 20:11:00,40.90694,39.99951,39.69051
09/06/2020 20:12:00,41.45983,40.66328,40.3
09/06/2020 20:13:00,41.09301,40.38901,40.10436
09/06/2020 20:14:00,40.67714,40.00776,39.62977
09/06/2020 20:15:00,41.00551,40.326,39.9516
09/06/2020 20:16:00,41.0099,40.39267,40.11925
